y,Date,Price
1,2/22/17,33.82
2,2/21/17,33.92
3,2/17/17,33.76
4,2/16/17,33.54
5,2/15/17,34.01
6,2/14/17,33.63
7,2/13/17,33.79
8,2/10/17,33.63
9,2/9/17,33.12
10,2/8/17,33.25
11,2/7/17,32.43
