y,Date,Price
1,2/22/17,71.71
2,2/21/17,71.45
3,2/17/17,69.37
4,2/16/17,68.87
5,2/15/17,68.69
6,2/14/17,68.66
7,2/13/17,67.77
8,2/10/17,68.02
9,2/9/17,69.08
10,2/8/17,67.81
11,2/7/17,66.89
