y,Date,Price
1,2/22/17,91.06
2,2/21/17,91.01
3,2/17/17,90.23
4,2/16/17,90.53
5,2/15/17,90.59
6,2/14/17,89.56
7,2/13/17,88.15
8,2/10/17,87
9,2/9/17,87.2
10,2/8/17,85.96
11,2/7/17,86.72
