y,Date,Price
1,2/22/17,24.79
2,2/21/17,24.78
3,2/17/17,24.52
4,2/16/17,24.58
5,2/15/17,24.58
6,2/14/17,24.06
7,2/13/17,23.4
8,2/10/17,23.08
9,2/9/17,23.12
10,2/8/17,22.67
11,2/7/17,22.9
