y,Date,Price
1,2/22/17,24.87
2,2/21/17,25.03
3,2/17/17,24.47
4,2/16/17,24.06
5,2/15/17,24.39
6,2/14/17,24.2
7,2/13/17,23.63
8,2/10/17,24.36
9,2/9/17,23.97
10,2/8/17,23.31
11,2/7/17,22.74
