y,Date,Price
1,2/22/17,45.98
2,2/21/17,45.5
3,2/17/17,45.1
4,2/16/17,45.16
5,2/15/17,45.65
6,2/14/17,45.02
7,2/13/17,45.46
8,2/10/17,45.03
9,2/9/17,45.08
10,2/8/17,45.07
11,2/7/17,44.37
