y,Date,Price
1,2/22/17,855.61
2,2/21/17,856.44
3,2/17/17,845.07
4,2/16/17,844.14
5,2/15/17,842.7
6,2/14/17,836.39
7,2/13/17,836.53
8,2/10/17,827.46
9,2/9/17,821.36
10,2/8/17,819.71
11,2/7/17,812.5
