y,Date,Price
1,2/22/17,38.84
2,2/21/17,38.93
3,2/17/17,38.57
4,2/16/17,38.61
5,2/15/17,38.39
6,2/14/17,37.45
7,2/13/17,37.6
8,2/10/17,37.66
9,2/9/17,37.32
10,2/8/17,36.97
11,2/7/17,37.04
